"1429468","M","0100","0300","M"
"1017093","M","0100","0300","M"
"2423192","M","0100","0300","M"
"2423261","M","0100","0300","M"
"2421577","M","0100","0300","M"
"2423868","M","0100","0300","M"
"2423990","M","0100","0300","M"
"2424739","M","0100","0300","M"
"1425931","M","0100","0300","M"
"1426594","M","0100","0300","M"
"2429401","M","0100","0300","M"
"2429452","M","0100","0300","M"
"2429953","M","0100","0300","M"
"2428048","M","0100","0300","M"
"2880009","M","0100","0300","M"
"2428557","M","0900","0500","M"
"2429076","M","0100","0300","M"
"3879544","M","0100","0300","M"
"2427386","M","0100","0300","M"
"3870816","M","0100","0300","M"
"2427234","M","0100","0300","M"
"5441113","M","0100","0300","M"
"3168193","M","0100","0300","M"
"3876454","M","0100","0300","M"
"5448350","M","0100","0300","M"
"5446698","M","0100","0300","M"
"2427615","M","0100","0300","M"
"2427423","M","0100","0300","M"
"3876853","M","0100","0300","M"
"3876575","M","0100","0300","M"
"3876327","M","0100","0300","M"
"3872646","M","0100","0300","M"
"5441381","M","0100","0300","M"
"5446654","M","0100","0300","M"
"8980222","M","0100","0400","M"
"8843989","M","0100","0400","M"
"9221628","M","0100","0400","M"
"2288445","M","0100","0400","M"
"2289787","M","0100","0400","M"
"2289257","M","0100","0400","M"
"2280708","M","0100","0400","M"
"5441377","M","0100","0400","M"
"8845041","M","0100","0400","M"
"8840919","M","0100","0400","M"
"7903507","M","0100","0400","M"
"7869800","M","0100","0400","M"
"7860733","M","0100","0400","M"
"8097206","M","0100","0400","M"
"6230020","M","0100","0400","M"
"6230023","M","0100","0400","M"
"8975877","M","0100","0400","M"
"8976931","M","0100","0400","M"
"8973695","M","0100","0400","M"
"8977540","M","0100","0400","M"
"6232061","M","0100","0400","M"
"8979722","M","0100","0400","M"
"8979707","M","0100","0400","M"
"2288021","M","0100","0400","M"
"2282867","M","0100","0400","M"
"2280556","M","0100","0400","M"
"2280466","M","0100","0400","M"
"2285774","M","0100","0400","M"
"2288671","M","0100","0400","M"
"2289070","M","0100","0400","M"
"2022548","M","0100","0400","M"
"2026637","M","0100","0400","M"
"2423155","M","0100","0400","M"
"2029965","M","0100","0400","M"
"2028142","M","0100","0400","M"
"2429297","M","0100","0400","M"
"2427387","M","0100","0400","M"
"3871682","M","0100","0200","M"
"6529456","M","0200","0400","M"
"5575493","M","0200","0400","M"
"5575976","M","0200","0400","M"
"9451936","M","0200","0400","M"
"8888184","M","0200","0400","M"
"1253121","M","0200","0400","M"
"1824669","M","0200","0400","M"
"1255888","M","0200","0400","M"
"2504862","M","0200","0400","M"
"5571842","M","0200","0400","M"
"5570389","M","0200","0400","M"
"5572818","M","0200","0400","M"
"5571333","M","0200","0400","M"
"8080109","M","0200","0600","M"
"8091806","M","0200","0600","M"
"8099413","M","0200","0600","M"
"6655445","M","0200","0600","M"
"8097785","M","0200","0600","M"
"8094860","M","0200","0600","M"
"5750022","M","0200","0600","M"
"5750047","M","0200","0600","M"
"1005441","M","0200","0600","M"
"1005472","M","0200","0600","M"
"2282260","M","0200","0600","M"
"1027065","M","0200","0600","M"
"1013699","M","0200","0600","M"
"1017890","M","0200","0600","M"
"1014881","M","0200","0600","M"
"4120102","M","0200","0600","M"
"4128098","M","0200","0600","M"
"2884346","M","0200","0600","M"
"4120100","M","0200","0600","M"
"4121340","M","0200","0600","M"
"4120087","M","0200","0600","M"
"4120013","M","0200","0600","M"
"4120014","M","0200","0600","M"
"4120004","M","0200","0600","M"
"4120006","M","0200","0600","M"
"2889367","M","0200","0600","M"
"4120005","M","0200","0600","M"
"5142836","M","0200","0600","M"
"5142120","M","0200","0600","M"
"5140479","M","0200","0600","M"
"5140267","M","0200","0600","M"
"4120099","M","0200","0600","M"
"5149392","M","0200","0600","M"
"5147342","M","0200","0600","M"
"5146950","M","0200","0600","M"
"5146058","M","0200","0600","M"
"5145285","M","0200","0600","M"
"5145061","M","0200","0600","M"
"8091039","M","0200","9900","M"
"8092250","M","0200","9900","M"
"6653053","M","0200","9900","M"
"8099343","M","0200","9900","M"
"8093783","M","0200","9900","M"
"8097682","M","0200","9900","M"
"8095711","M","0200","9900","M"
"8095529","M","0200","9900","M"
"8094665","M","0200","9900","M"
"7875819","M","0200","9900","M"
"7870927","M","0200","9900","M"
"7870423","M","0200","9900","M"
"7876848","M","0200","9900","M"
"5758576","M","0200","9900","M"
"8985845","M","0200","9900","M"
"7878786","M","0200","9900","M"
"5753137","M","0200","9900","M"
"5753317","M","0200","9900","M"
"5753525","M","0200","9900","M"
"8778279","M","0200","9900","M"
"8772513","M","0200","9900","M"
"1828237","M","0200","9900","M"
"1250005","M","0200","9900","M"
"1250004","M","0200","9900","M"
"2421473","M","0200","9900","M"
"2309118","M","0200","9900","M"
"2302137","M","0200","9900","M"
"1327650","M","0200","9900","M"
"1256402","M","0200","9900","M"
"2025334","M","0200","9900","M"
"2024101","M","0200","9900","M"
"2420003","M","0200","9900","M"
"2420041","M","0200","9900","M"
"1322194","M","0200","9900","M"
"1250003","M","0200","9900","M"
"1250002","M","0200","9900","M"
"4125773","M","0200","9900","M"
"2558205","M","0200","9900","M"
"2552778","M","0200","9900","M"
"3858923","M","0200","9900","M"
"3857669","M","0200","9900","M"
"3857145","M","0200","9900","M"
"3851970","M","0200","9900","M"
"3851046","M","0200","9900","M"
"3850672","M","0200","9900","M"
"5141031","M","0200","9900","M"
"5140007","M","0200","9900","M"
"5147184","M","0200","9900","M"
"5142934","M","0200","9900","M"
"5145266","M","0200","9900","M"
"5144180","M","0200","9900","M"
"2427705","M","0200","9900","M"
"4750012","M","0200","9900","M"
"2429506","M","0200","9900","M"
"7874724","M","0200","0700","M"
"5755491","M","0200","0700","M"
"5758806","M","0200","0700","M"
"5759612","M","0200","0700","M"
"5758234","M","0200","0700","M"
"5751767","M","0200","0700","M"
"5750239","M","0200","0700","M"
"8882884","M","0200","0700","M"
"8880125","M","0200","0700","M"
"8889871","M","0200","0700","M"
"1980001","M","0200","0700","M"
"1252902","M","0200","0700","M"
"1252554","M","0200","0700","M"
"1253405","M","0200","0700","M"
"1259385","M","0200","0700","M"
"1256580","M","0200","0700","M"
"1135918","M","0200","0700","M"
"1256498","M","0200","0700","M"
"1257606","M","0200","0700","M"
"1255901","M","0200","0700","M"
"1254430","M","0200","0700","M"
"1259338","M","0200","0700","M"
"1259194","M","0200","0700","M"
"1254093","M","0200","0700","M"
"1259125","M","0200","0700","M"
"1258953","M","0200","0700","M"
"1258860","M","0200","0700","M"
"2500003","M","0200","0700","M"
"2500002","M","0200","0700","M"
"2501015","M","0200","0700","M"
"2501273","M","0200","0700","M"
"2502726","M","0200","0700","M"
"2505521","M","0200","0700","M"
"2506741","M","0200","0700","M"
"2880150","M","0200","0700","M"
"2880016","M","0200","0700","M"
"2880017","M","0200","0700","M"
"2706307","M","0200","0700","M"
"2550051","M","0200","0700","M"
"2555996","M","0200","0700","M"
"8770437","M","0200","0200","M"
"8092063","M","0200","0200","M"
"8098548","M","0200","0200","M"
"8097398","M","0200","0200","M"
"8097132","M","0200","0200","M"
"8099204","M","0200","0200","M"
"5750053","M","0200","0200","M"
"5750016","M","0200","0200","M"
"8771215","M","0200","0200","M"
"5752346","M","0200","0200","M"
"8887691","M","0200","0200","M"
"8885767","M","0200","0200","M"
"8777756","M","0200","0200","M"
"8777960","M","0200","0200","M"
"8778757","M","0200","0200","M"
"8771242","M","0200","0200","M"
"8773848","M","0200","0200","M"
"8888549","M","0200","0200","M"
"8772347","M","0200","0200","M"
"8888256","M","0200","0200","M"
"8774424","M","0200","0200","M"
"1252273","M","0200","0200","M"
"2280114","M","0200","0200","M"
"1820008","M","0200","0200","M"
"2280115","M","0200","0200","M"
"2280118","M","0200","0200","M"
"2280119","M","0200","0200","M"
"2280120","M","0200","0200","M"
"2280121","M","0200","0200","M"
"2280124","M","0200","0200","M"
"2280123","M","0200","0200","M"
"1820007","M","0200","0200","M"
"1800008","M","0200","0200","M"
"1800009","M","0200","0200","M"
"1382130","M","0200","0200","M"
"1380020","M","0200","0200","M"
"1380185","M","0200","0200","M"
"1380382","M","0200","0200","M"
"1380702","M","0200","0200","M"
"1380010","M","0200","0200","M"
"1382306","M","0200","0200","M"
"1383256","M","0200","0200","M"
"1384097","M","0200","0200","M"
"1384367","M","0200","0200","M"
"1380821","M","0200","0200","M"
"1385116","M","0200","0200","M"
"1255950","M","0200","0200","M"
"1256892","M","0200","0200","M"
"1388015","M","0200","0200","M"
"1385917","M","0200","0200","M"
"1386201","M","0200","0200","M"
"1259280","M","0200","0200","M"
"1386353","M","0200","0200","M"
"1386488","M","0200","0200","M"
"1388330","M","0200","0200","M"
"1389322","M","0200","0200","M"
"1386765","M","0200","0200","M"
"1670036","M","0200","0200","M"
"1676821","M","0200","0200","M"
"1676500","M","0200","0200","M"
"2701008","M","0200","0200","M"
"3331722","M","0200","0200","M"
"2504265","M","0200","0200","M"
"2507501","M","0200","0200","M"
"3337405","M","0200","0200","M"
"2708705","M","0200","0200","M"
"2880927","M","0200","0200","M"
"2881971","M","0200","0200","M"
"2882559","M","0200","0200","M"
"2883726","M","0200","0200","M"
"2883855","M","0200","0200","M"
"2883989","M","0200","0200","M"
"2885592","M","0200","0200","M"
"2703854","M","0200","0200","M"
"2886005","M","0200","0200","M"
"2886433","M","0200","0200","M"
"2886778","M","0200","0200","M"
"2887170","M","0200","0200","M"
"2887704","M","0200","0200","M"
"2888055","M","0200","0200","M"
"2888467","M","0200","0200","M"
"2889339","M","0200","0200","M"
"2888488","M","0200","0200","M"
"5477151","M","0200","0200","M"
"5472239","M","0200","0200","M"
"4750008","M","0200","0200","M"
"4750003","M","0200","0200","M"
"4750017","M","0200","0200","M"
"4750011","M","0200","0200","M"
"4750010","M","0200","0200","M"
"4750009","M","0200","0200","M"
"4750007","M","0200","0200","M"
"4750005","M","0200","0200","M"
"4750006","M","0200","0200","M"
"8092341","M","0200","0300","M"
"8980207","M","0200","0300","M"
"8980208","M","0200","0300","M"
"8980233","M","0200","0300","M"
"8980223","M","0200","0300","M"
"8980235","M","0200","0300","M"
"8980236","M","0200","0300","M"
"8980220","M","0200","0300","M"
"8980212","M","0200","0300","M"
"8980211","M","0200","0300","M"
"8980210","M","0200","0300","M"
"7870028","M","0200","0300","M"
"7870002","M","0200","0300","M"
"5750015","M","0200","0300","M"
"5756497","M","0200","0300","M"
"5757890","M","0200","0300","M"
"5752257","M","0200","0300","M"
"5755347","M","0200","0300","M"
"5754969","M","0200","0300","M"
"8881470","M","0200","0300","M"
"8885687","M","0200","0300","M"
"8884530","M","0200","0300","M"
"8882682","M","0200","0300","M"
"8887836","M","0200","0300","M"
"8881135","M","0200","0300","M"
"8880638","M","0200","0300","M"
"8880026","M","0200","0300","M"
"8882625","M","0200","0300","M"
"8980184","M","0200","0300","M"
"8888290","M","0200","0300","M"
"2422206","M","0200","0300","M"
"1252076","M","0200","0300","M"
"1679914","M","0200","0300","M"
"2421614","M","0200","0300","M"
"1252819","M","0200","0300","M"
"2420724","M","0200","0300","M"
"1250903","M","0200","0300","M"
"2420945","M","0200","0300","M"
"1250006","M","0200","0300","M"
"2421542","M","0200","0300","M"
"2305984","M","0200","0300","M"
"2425592","M","0200","0300","M"
"2424854","M","0200","0300","M"
"2426803","M","0200","0300","M"
"2425691","M","0200","0300","M"
"2426171","M","0200","0300","M"
"1256809","M","0200","0300","M"
"2423326","M","0200","0300","M"
"2422843","M","0200","0300","M"
"2422714","M","0200","0300","M"
"2420442","M","0200","0300","M"
"2420169","M","0200","0300","M"
"2420100","M","0200","0300","M"
"2420095","M","0200","0300","M"
"2420149","M","0200","0300","M"
"2469476","M","0200","0300","M"
"2507407","M","0200","0300","M"
"2460105","M","0200","0300","M"
"2429920","M","0200","0300","M"
"2429893","M","0200","0300","M"
"3339213","M","0200","0300","M"
"2429602","M","0200","0300","M"
"3336726","M","0200","0300","M"
"2460102","M","0200","0300","M"
"2460108","M","0200","0300","M"
"2460107","M","0200","0300","M"
"2460106","M","0200","0300","M"
"2460104","M","0200","0300","M"
"2460103","M","0200","0300","M"
"2463972","M","0200","0300","M"
"2460100","M","0200","0300","M"
"2460099","M","0200","0300","M"
"2460098","M","0200","0300","M"
"3332079","M","0200","0300","M"
"3856184","M","0200","0300","M"
"4122696","M","0200","0300","M"
"2704779","M","0200","0300","M"
"2705885","M","0200","0300","M"
"2704349","M","0200","0300","M"
"2702643","M","0200","0300","M"
"2427608","M","0200","0300","M"
"5470028","M","0200","0300","M"
"5444956","M","0200","0300","M"
"2429210","M","0200","0300","M"
"2428403","M","0200","0300","M"
"2427281","M","0200","0300","M"
"2428120","M","0200","0300","M"
"2427987","M","0200","0300","M"
"2428635","M","0200","0300","M"
"5440875","M","0200","0300","M"
"5470025","M","0200","0300","M"
"2427514","M","0200","0300","M"
"5449328","M","0200","0300","M"
"2427463","M","0200","0300","M"
"5750048","M","0200","0500","M"
"5750004","M","0200","0500","M"
"5759117","M","0200","0500","M"
"5750158","M","0200","0500","M"
"5753080","M","0200","0500","M"
"1679883","M","0200","0500","M"
"1863371","M","0200","0500","M"
"1678885","M","0200","0500","M"
"2300494","M","0200","0500","M"
"2308938","M","0200","0500","M"
"2420937","M","0200","0500","M"
"1384755","M","0200","0500","M"
"1380014","M","0200","0500","M"
"1380013","M","0200","0500","M"
"2425974","M","0200","0500","M"
"2425787","M","0200","0500","M"
"2423746","M","0200","0500","M"
"2424196","M","0200","0500","M"
"1389305","M","0200","0500","M"
"2424349","M","0200","0500","M"
"1671672","M","0200","0500","M"
"1672115","M","0200","0500","M"
"2420378","M","0200","0500","M"
"2420024","M","0200","0500","M"
"1673285","M","0200","0500","M"
"1674826","M","0200","0500","M"
"1675743","M","0200","0500","M"
"2558355","M","0200","0500","M"
"2552713","M","0200","0500","M"
"2556463","M","0200","0500","M"
"2428195","M","0200","0500","M"
"2428518","M","0200","0500","M"
"2428862","M","0200","0500","M"
"5449236","M","0200","0500","M"
"8985301","M","0300","0100","M"
"6239963","M","0300","0100","M"
"6234725","M","0300","0100","M"
"6235439","M","0300","0100","M"
"6237307","M","0300","0100","M"
"5750013","M","0300","0100","M"
"8980190","M","0300","0100","M"
"6174782","M","0300","0100","M"
"6230004","M","0300","0100","M"
"1800001","M","0300","0100","M"
"1800002","M","0300","0100","M"
"4125094","M","0300","0100","M"
"5447679","M","0300","0100","M"
"4121071","M","0300","0100","M"
"4129239","M","0300","0100","M"
"4122646","M","0300","0100","M"
"2920005","M","0300","0100","M"
"5440014","M","0300","0100","M"
"4123755","M","0300","0100","M"
"4120096","M","0300","0100","M"
"4127367","M","0300","0100","M"
